guid,note id,ipa phone,ipa phone strict transcription,ipa phoneme symbol,openess,backness,roundedness,examples,classification,notes,pronunciation sound,example sounds,ipa vowels chart,tags
c4jj*~.l/-,1421608435119,œ,œ̝̈,œ,Mid,Front,Rounded,"b<b><font color=""#e60000"">ø</font></b>nne<div>fr<b><font color=""#e60000"">ø</font></b></div>",Vowel,,[sound:ipa_da_ph_mid_front_rounded.ogg],[sound:ipa_da_ex_bønne.ogg][sound:ipa_da_ex_frø.ogg],"<img src=""vowel_chart_da_mid_front_rounded.svg"" />",ipa_da_vowels
mqZPh6qSl8,1421608440526,ɶ,ɶ̝̈,ɶ,Near-open,Near-front,Rounded,"t<b><font color=""#e60000"">ø</font></b>r<div>gr<b><font color=""#e60000"">ø</font></b>n</div>",Vowel,,[sound:ipa_da_ph_near-open_near-front_rounded.ogg],[sound:ipa_da_ex_tør.ogg][sound:ipa_da_ex_grøn.ogg],"<img src=""vowel_chart_da_near-pen_near-front_rounded.svg"" />",ipa_da_vowels
"n,^6E[g6R^",1421608445607,y,ÿ,y,Close,Near-front,Rounded,"t<b><font color=""#e60000"">y</font></b>k<div>l<b><font color=""#e60000"">y</font></b>s</div>",Vowel,,[sound:ipa_da_ph_close_near-front_rounded.ogg],[sound:ipa_da_ex_tyk.ogg][sound:ipa_da_ex_lys.ogg],"<img src=""vowel_chart_da_close_near-front_unrounded.svg"" /><img src=""danish_monophthongs_chart.svg"" />",ipa_da_vowels
"CGEmV^3,jD",1421608447458,ʌ,ɔ̜̈˕,ʌ,Near-open,Near-back,Rounded (somewhat),"<b><font color=""#e60000"">å</font></b>nd<div><b><font color=""#e60000"">o</font></b>p</div>",Vowel,,[sound:ipa_da_ph_near-open_near-back_rounded.ogg],[sound:ipa_da_ex_ånd.ogg][sound:ipa_da_ex_op.ogg],"<img src=""vowel_chart_da_near-open_near-back_rounded.svg"" />",ipa_da_vowels
QBbALycsXm,1421608452902,ɒ,ɔ̞,ɒ,Open-mid (slightly lowered),Back,Rounded,"<b><font color=""#e60000"">o</font></b>g<div>v<b style=""color: rgb(230, 0, 0);"">o</b>r</div>",Vowel,,[sound:ipa_da_ph_open-mid_back_rounded.ogg],[sound:ipa_da_ex_og.ogg][sound:ipa_da_ex_vor.ogg],"<img src=""vowel_chart_da_open-mid_back_rounded.svg"" />",ipa_da_vowels
P^addSYA]5,1421608457691,ə,ə,ə,Mid,Central,Unrounded,"hopp<b><font color=""#e60000"">e</font></b><div>hav<b><font color=""#e60000"">e</font></b></div>",Unstressed vowel,,[sound:ipa_da_ph_mid_central_unrounded.ogg],[sound:ipa_da_ex_hoppe.ogg][sound:ipa_da_ex_have.ogg],,ipa_da_vowels
"rB$,ZG6UG4",1421608493687,j,ɪ̯,g j,Close (relatively),Front,Unrounded,"ve<b><font color=""#e60000"">j</font></b><div>lø<b><font color=""#e60000"">g</font></b></div>",Non-syllabic vowel,,,[sound:ipa_da_ex_vej.ogg][sound:ipa_da_ex_løg.ogg],,ipa_da_vowels
b<+z|guZDR,1424016236522,ʌ,ʌ̟̞ or&nbsp;ə̠,ər,Near-open,Central retracted,Unrounded,"løb<b><font color=""#e60000"">er</font></b><div>fatt<b><font color=""#e60000"">er</font></b></div>",Unstressed vowel,,,[sound:ipa_da_ex_løber.ogg][sound:ipa_da_ex_fatter.ogg],,
"p_N~Et`Q,0",1424016412009,ɪ,syllabic&nbsp;ɪ̯,gə jə,Close (relatively),Front,Unrounded,"<div>ve<b><font color=""#ff0000"">je</font></b> (pronunced with schwa assimilation)</div>rø<b><font color=""#ff0000"">ge</font></b>&nbsp;(pronunced with schwa assimilation)",Unstressed vowel,It is an assimilatory variant of [ɪ̯ə],,[sound:ipa_da_ex_vaje-assimilation.ogg][sound:ipa_da_ex_røge-assimilation.ogg],,
c$R=_]y^t@,1424016537976,w̩,syllabic&nbsp;ʊ̯,gə və,Close (relatively),Back,Rounded,"ma<b><font color=""#e60000"">ve</font></b>&nbsp;(pronunced with schwa assimilation)<div>ha<b><font color=""#e60000"">ve</font></b>&nbsp;(pronunced with schwa assimilation)</div>",Unstressed vowel,It is an assimilatory variant of [ʊ̯ə],,[sound:ipa_da_ex_mave-assimilation.ogg][sound:ipa_da_ex_have-assimilation.ogg],,
